Ticker,Fast,Slow,Total Realized P/L ($),Win %,Sharpe,Trades,Max Drawdown (%)
AA,100,200,5945.0279,76.19,0.2352,21,-32.3593
AAL,5,150,9960.9152,68.57,0.3231,35,-43.3498
ABBV,40,120,9909.3928,81.82,0.4852,22,-18.0754
ABT,20,90,9144.4553,66.67,0.34,24,-21.9285
ACB,5,200,17050.6027,72.09,0.4656,43,-38.3732
ACN,100,110,11622.173,80.77,0.3394,26,-29.5171
ADBE,100,110,18592.9532,80.56,0.4294,36,-28.244
ADSK,5,110,5803.398,63.83,0.1944,47,-29.1786
AFRM,100,120,2234.2614,80.0,0.4387,10,-11.2905
AGNC,50,200,1475.8441,66.67,0.1316,15,-29.977
ALHC,5,200,15958.0279,88.24,0.8939,17,-23.9116
AMD,40,90,130374.1604,88.75,0.6925,80,-25.6567
AMZN,5,200,54854.3768,78.85,0.5667,52,-34.0034
APP,30,100,27735.6533,92.86,1.3061,42,-17.0909
ARM,50,90,7090.9797,91.67,0.9684,12,-23.4216
ASPI,20,200,7827.861,92.31,1.0754,13,-14.052
ASTS,100,200,9645.6951,93.1,0.9426,29,-10.1053
AVDL,50,200,2966.7864,62.07,0.1565,29,-33.1878
AXON,5,90,506602.708,82.76,0.9091,87,-31.212
B,40,70,4746.9911,66.67,0.2231,27,-32.5312
BA,5,200,5962.3014,56.76,0.2181,37,-36.678
BABA,50,100,11837.2848,78.26,0.5507,23,-27.1312
BAC,40,200,5236.6519,68.0,0.2428,25,-28.2003
BAM,40,150,2388.5956,75.0,0.5813,8,-19.5354
BE,30,70,9382.9931,77.42,0.4332,31,-24.9356
BMY,100,200,14682.891,74.07,0.3508,27,-29.2079
BULL,5,90,4481.0566,91.67,0.4067,12,-74.1403
C,20,200,12838.2883,74.19,0.3327,31,-26.5046
CARR,5,200,1935.1435,66.67,0.2822,12,-20.5388
CAVA,10,150,14290.0633,87.5,1.4007,16,-24.2899
CC,100,200,5254.0304,84.21,0.4113,19,-29.7746
CCJ,5,200,10229.3846,62.86,0.3093,35,-47.9048
CCL,20,110,11742.7041,75.0,0.3305,40,-20.6719
CELH,20,80,14701.7034,72.73,0.3197,55,-46.1961
CHWY,20,200,489.8517,66.67,0.1296,6,-17.2902
CLMT,5,200,34713.166,70.49,0.4919,61,-38.1455
CLOV,20,80,16546.1059,82.61,0.7599,23,-29.2346
CLSK,5,100,5434.6893,64.29,0.325,28,-63.0069
CMG,30,110,57274.8732,81.63,0.6934,49,-31.4659
CNQ,20,110,40692.6165,86.67,0.6343,30,-32.0045
CORZ,5,80,5160.6176,75.0,0.7854,12,-30.4622
COST,10,200,10671.2925,74.07,0.376,27,-19.7041
COTY,10,100,8759.6328,82.61,0.4093,23,-19.6617
CPNG,5,70,2221.1264,83.33,0.4494,6,-13.0805
CRM,100,150,30776.2212,83.33,0.4964,42,-24.9154
CRML,20,100,15648.5338,78.57,0.797,28,-42.5808
CRWD,100,110,9188.1584,100.0,0.8668,16,-20.3926
CRWV,5,60,-125.0,50.0,0.0443,2,-15.3962
CVNA,50,90,17538.3336,85.29,0.5996,34,-22.1454
CVS,40,200,5024.7904,65.22,0.2562,23,-25.343
DAR,5,120,9205.1917,63.83,0.2508,47,-27.1546
DBX,20,150,1851.0818,80.0,0.277,5,-15.8358
DELL,100,110,25812.546,94.29,1.0636,35,-18.3232
DJT,100,120,10684.172,92.68,0.4256,41,-79.7771
DKNG,10,110,20891.0423,87.5,0.8584,24,-25.8144
DOW,5,60,316.8217,100.0,0.1199,2,-10.7293
EBAY,50,200,22186.4146,80.0,0.405,35,-23.8463
ENPH,50,70,24194.9493,79.17,0.6479,48,-25.4737
ENR,20,120,3854.3139,72.22,0.2928,18,-20.4145
EQX,100,200,362.5,66.67,0.1266,3,-12.7902
EXE,10,80,3282.3826,100.0,0.6129,5,-10.5363
F,20,110,3323.9801,58.62,0.1648,29,-43.9508
FCX,100,110,3871.7109,71.43,0.2044,28,-34.4917
FDX,50,150,12500.969,77.14,0.367,35,-26.8126
FSLR,5,70,20118.9608,71.43,0.4172,42,-47.1483
GILD,40,60,13768.6106,78.12,0.3689,32,-24.5514
GILT,50,150,12179.6263,75.0,0.3513,44,-31.9612
GM,10,110,6619.7649,73.68,0.3705,19,-17.9792
GME,100,200,40842.1726,80.95,0.4966,42,-36.1891
GOOG,40,100,14527.8807,78.57,0.4837,28,-28.2535
GOOGL,50,100,18102.1219,80.65,0.4803,31,-28.0147
HIMS,20,70,18554.1155,90.0,0.8195,30,-25.9968
HOOD,5,150,7513.0321,70.0,0.6208,20,-21.0057
HPE,5,110,4266.8396,72.73,0.3809,11,-19.8548
HPQ,20,150,15671.3386,72.97,0.3397,37,-32.9695
HUT,40,200,7554.0026,82.93,0.4464,41,-29.778
INTC,5,80,10242.4539,70.37,0.3011,27,-28.18
IQ,5,100,4670.7763,71.43,0.3354,21,-30.9946
IREN,20,90,12923.4928,88.89,1.1586,27,-23.8592
IWM,50,60,8544.2655,80.0,0.3524,20,-19.2221
JBLU,20,150,7439.032,60.53,0.2502,38,-36.9576
JD,50,60,8251.5556,82.61,0.4803,23,-18.7967
JMIA,50,120,11515.8326,88.89,0.7637,27,-20.1684
JNJ,20,80,7833.9915,73.91,0.3544,23,-23.5976
JPM,30,100,11190.3532,94.44,0.4342,18,-12.3385
KHC,5,80,1476.6562,50.0,0.201,14,-16.598
KMI,40,200,2879.2695,75.0,0.219,12,-25.6404
KO,50,200,4191.9272,60.71,0.2011,28,-21.7418
KSS,20,60,20615.9954,83.33,0.3682,24,-22.3611
LLY,30,110,3888.2835,56.52,0.1934,23,-32.4603
LOW,40,110,5043.7358,64.71,0.2154,34,-24.5593
LULU,20,80,44285.0138,79.55,0.5832,44,-41.6376
LUV,5,110,17387.4199,67.57,0.4311,37,-29.8519
LVS,5,150,20605.5317,71.79,0.4223,39,-39.2783
LYFT,5,60,4948.6157,81.82,0.4537,11,-25.5937
MARA,20,70,10570.1659,75.0,0.3097,36,-49.0
MBLY,50,200,-125.0,50.0,-0.0166,2,-10.4686
MBOT,40,200,18908.778,75.0,0.3224,40,-40.314
META,50,200,90301.3306,95.12,1.0306,41,-20.9483
MNDY,40,200,4714.2945,81.82,0.5121,11,-21.5746
MO,100,150,30999.3073,83.87,0.5544,31,-25.0355
MRK,50,150,4304.3266,64.71,0.2191,17,-25.5165
MRVL,10,100,16366.5765,78.38,0.3733,37,-22.1755
MSFT,5,150,5197.3519,57.14,0.2282,28,-25.0753
MU,40,200,25022.5012,78.26,0.4786,46,-34.0335
NEE,50,120,7556.6869,81.82,0.3485,22,-26.2652
NEXT,50,200,1866.1654,66.67,0.1899,21,-33.7342
NFLX,30,90,806240.1418,90.53,0.9957,95,-40.2688
NIO,50,100,5562.1478,76.19,0.5174,21,-13.7012
NKE,50,200,25196.0094,73.81,0.4292,42,-35.4823
NU,50,200,7589.7521,83.33,0.6989,12,-41.333
NVDA,10,150,219093.6803,84.85,0.7529,66,-28.439
ONDS,20,70,10033.5526,81.48,0.7583,27,-25.8122
OPEN,20,80,21238.8776,86.84,0.8241,38,-28.9647
OWL,30,70,8220.9792,85.71,0.7742,14,-25.6218
OXY,5,80,12819.6524,78.57,0.3574,28,-28.8816
PBR,5,100,6819.8571,75.0,0.2373,20,-27.1363
PCG,50,200,16303.482,82.86,0.3882,35,-26.4273
PDD,100,110,9477.645,86.96,0.7151,23,-24.9534
